Estado,Municipio,Zona/Colonia,Calle/Vía de Acceso,Pilar 1 (Suelo/Extorsión),Pilar 2 (Vial/Carretera),Pilar 3 (Social/Certeza),Semáforo (Status),Dictamen & Justificación Estratégica,Latitud,Longitud,Fuentes / Evidencias Encontradas
Sinaloa,Escuinapa,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado. Entrada sur al estado por Carretera Federal 15; tráfico comercial intenso y puntos de inspección.,22.7195,-105.7022,[Histórico SESNSP] SESNSP - Puerta sur bajo monitoreo carretero
Sinaloa,Guasave,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,Condicionado. Centro agrícola y comercial activo; tránsito seguro sobre Carretera Federal 15 pero vigilancia requerida en caminos vecinales.,25.5046,-108.5400,[Histórico SESNSP] SESNSP - Incidencia patrimonial moderada
Sinaloa,Juan José Ríos,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado. Enclave agrícola de creación reciente en corredor de la Carretera 15; actividad económica local en estructuración.,25.7575,-108.8221,[Histórico SESNSP] SESNSP - Municipio en transición institucional
Sinaloa,Mazatlán,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,"Condicionado. Zona dorada, malecón y áreas turísticas resguardadas por Guardia Nacional; precaución en accesos periféricos y autopistas.",23.2036,-106.4208,[Histórico SESNSP] ENSU INEGI / SESNSP - Destino turístico con alerta en conectividad vial
Sinaloa,Mocorito,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (7/10),Medio (7/10),🟡 AMARILLO,Condicionado. Pueblo Mágico cultural y gastronómico; ambiente tranquilo en cabecera con monitoreo en accesos rurales.,25.3639,-107.8189,[Histórico SESNSP] SESNSP - Zona turística y cultural protegida
Sinaloa,Navolato,Todo el Municipio,Accesos Principales,Alto (4/10),Alto (4/10),Alto (4/10),🔴 ROJO,No-Go. Zona de conurbación e influencia directa de la crisis de seguridad de Culiacán; riesgo en accesos carreteros a costas.,24.7633,-107.6980,[Histórico SESNSP] SESNSP - Foco conurbado de alta incidencia
Sinaloa,Rosario,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,Condicionado. Pueblo Mágico minero e histórico; entorno apacible en zona urbana con precaución en caminos intermunicipales.,23.0896,-105.6788,[Histórico SESNSP] SESNSP - Pueblo Mágico con vigilancia estatal
Sinaloa,Salvador Alvarado,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado. Cabecera regional comercial en Guamúchil; viable en zona urbana consolidada bajo vigilancia preventiva.,25.3807,-107.9918,[Histórico SESNSP] SESNSP - Corredor del Évora con monitoreo
Sinaloa,San Ignacio,Todo el Municipio,Accesos Principales,Alto (4/10),Alto (3/10),Alto (4/10),🔴 ROJO,No-Go. Zona serrana y tramos de paso afectados por pugnas armadas territoriales entre límites de Culiacán y Mazatlán.,23.9249,-106.2753,[Histórico SESNSP] SESNSP - Disputa territorial serrana
Sinaloa,Sinaloa,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Cabecera colonial ribereña estable; tramos serranos de difícil acceso requieren traslados autorizados.,24.7880,-107.3733,[Histórico SESNSP] SESNSP - Zona norte bajo supervisión
Durango,Canatlán,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Corredor manzanero seguro con conectividad vial directa a la capital.,24.5297,-104.9797,[Histórico SESNSP] SESNSP - Valle productivo de bajo riesgo
Durango,Canelas,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Zona serrana de difícil acceso por topografía abrupta; demanda traslados programados.,25.0723,-106.5430,[Histórico SESNSP] SESNSP - Sierra alta con vigilancia preventiva
Durango,Coneto de Comonfort,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Comunidad apacible del centro-norte con convivencia armónica.,25.0081,-104.7425,[Histórico SESNSP] SESNSP - Zona rural de paz social
Durango,Cuencamé,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,Condicionado. Nodo carretero de alta intensidad de carga; tránsito seguro sobre autopistas de cuota con vigilancia en tramos libres.,24.6530,-103.6755,[Histórico SESNSP] SESNSP - Encrucijada federal de transporte
Durango,Durango,Todo el Municipio,Accesos Principales,Bajo (9/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado para prospección e inversión. Una de las capitales más pacíficas de México con reducción histórica de delitos de alto impacto y alta certidumbre social.,24.0220,-104.6547,[Histórico SESNSP] ENSU INEGI / SESNSP - Reducción sostenida de incidencia delictiva
Durango,El Oro,Todo el Municipio,Accesos Principales,Bajo (8/10),Medio (7/10),Bajo (8/10),🟡 AMARILLO,Condicionado. Precaución preventiva en accesos viales o zonas periféricas de El Oro.,25.6424,-105.3243,[Histórico SESNSP] SESNSP - Cabecera regional norte
Durango,General Simón Bolívar,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (7/10),Bajo (8/10),🟡 AMARILLO,Condicionado. Precaución preventiva en accesos viales o zonas periféricas de General Simón Bolívar.,24.8361,-103.2470,[Histórico SESNSP] SESNSP - Baja tasa delictiva
Durango,Guadalupe Victoria,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (8/10),🟢 VERDE,Aprobado. Centro logístico del valle de Los Llanos; comercio dinámico y conectividad federal.,24.4007,-104.1046,[Histórico SESNSP] SESNSP - Centro agroindustrial de Los Llanos
Durango,Guanaceví,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado. Municipio minero frío en el norte serrano; caminos de montaña con monitoreo.,26.0435,-106.1144,[Histórico SESNSP] SESNSP - Zona minera norteña
Durango,Gómez Palacio,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (7/10),Medio (7/10),🟡 AMARILLO,Condicionado. Zona Metropolitana de La Laguna; importante polo industrial bajo esquema del Mando Especial Laguna. Viable en corredores fabriles y residenciales.,25.5732,-103.4948,[Histórico SESNSP] Mando Especial Laguna / SESNSP - Vigilancia coordinada metropolitana
Durango,Hidalgo,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (8/10),🟢 VERDE,Aprobado. Valle norteño ganadero con baja incidencia delictiva.,26.0451,-104.8219,[Histórico SESNSP] SESNSP - Zona ganadera norteña
Durango,Indé,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Población minera y presas de pesca deportiva pacíficas.,25.7347,-104.9929,[Histórico SESNSP] SESNSP - Turismo de pesca seguro
Durango,Lerdo,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (7/10),Bajo (8/10),🟡 AMARILLO,Condicionado. Ciudad jardín de La Laguna; tranquila en zonas urbanas con monitoreo habitual en conexiones periféricas.,25.4710,-103.6639,[Histórico SESNSP] SESNSP - Conurbación lagunera estable
Durango,Mapimí,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (7/10),Medio (7/10),🟡 AMARILLO,Condicionado. Pueblo Mágico histórico con puente de Ojuela; zona desértica extensa que requiere traslados en horarios diurnos.,26.1581,-104.1410,[Histórico SESNSP] SESNSP - Corredor desértico bajo custodia
Durango,Mezquital,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Extensa región serrana indígena; baja criminalidad común pero aislamiento geográfico significativo.,23.0567,-104.5376,[Histórico SESNSP] SESNSP - Geografía serrana dispersa
Durango,Nazas,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Ribera del río con actividad ganadera y ecoturística en orden.,25.2710,-104.0733,[Histórico SESNSP] SESNSP - Ribera productiva en paz
Durango,Nombre de Dios,Todo el Municipio,Accesos Principales,Bajo (9/10),Bajo (9/10),Bajo (9/10),🟢 VERDE,"Aprobado. Pueblo Mágico colonial con alta afluencia turística gastronómica, nulo cobro de piso y excelente estabilidad comunitaria.",23.8412,-104.2204,[Histórico SESNSP] Sectur / SESNSP - Entorno turístico pacífico
Durango,Nuevo Ideal,Todo el Municipio,Accesos Principales,Bajo (9/10),Bajo (9/10),Bajo (9/10),🟢 VERDE,Aprobado. Enclave de colonias menonitas con floreciente actividad agroindustrial y gran paz social.,24.8392,-105.0029,[Histórico SESNSP] SESNSP - Comunidad productiva ejemplar
Durango,Ocampo,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (7/10),Bajo (8/10),🟡 AMARILLO,Condicionado. Precaución preventiva en accesos viales o zonas periféricas de Ocampo.,26.4577,-105.3809,[Histórico SESNSP] SESNSP - Frontera norte estable
Durango,Otáez,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Aislamiento geográfico en la Sierra Madre Occidental; precauciones logísticas requeridas.,24.7122,-105.9179,[Histórico SESNSP] SESNSP - Aislamiento serrano
Durango,Peñón Blanco,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Zona termal y balnearia con turismo familiar pacífico.,24.7691,-104.0428,[Histórico SESNSP] SESNSP - Entorno balneario seguro
Durango,Poanas,Todo el Municipio,Accesos Principales,Bajo (9/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Valle agrícola con bajísima incidencia criminal y convivencia social ordenada.,24.0349,-104.0877,[Histórico SESNSP] SESNSP - Zona agrícola estable
Durango,Pueblo Nuevo,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,Condicionado. Corredor maderero y ecoturístico en la Sierra Madre; autopista a Mazatlán vigilada por Guardia Nacional.,23.4545,-105.2777,[Histórico SESNSP] SESNSP - Ecoturismo serrano con patrullaje
Durango,Pánuco de Coronado,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Valle central minero y agropecuario con bajos índices de criminalidad.,24.5060,-104.3623,[Histórico SESNSP] SESNSP - Tranquilidad comunitaria
Durango,Rodeo,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Valle del río Nazas con producción nuecera y frutícola tranquila.,25.1954,-104.5785,[Histórico SESNSP] SESNSP - Valle agrícola estable
Durango,San Bernardo,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (7/10),Bajo (8/10),🟡 AMARILLO,Condicionado. Precaución preventiva en accesos viales o zonas periféricas de San Bernardo.,26.1840,-105.6782,[Histórico SESNSP] SESNSP - Convivencia pacífica norteña
Durango,San Dimas,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Complejo minero serrano; accesos viales por caminos de montaña sinuosos con logística privada.,24.1150,-105.7400,[Histórico SESNSP] SESNSP - Zona minera aislada
Durango,San Juan de Guadalupe,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (7/10),Bajo (8/10),🟡 AMARILLO,Condicionado. Precaución preventiva en accesos viales o zonas periféricas de San Juan de Guadalupe.,24.7276,-102.7118,[Histórico SESNSP] SESNSP - Estabilidad local
Durango,San Juan del Río,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (8/10),🟢 VERDE,Aprobado. Cuna de Francisco Villa; cabecera histórica y ganadera pacífica.,24.7947,-104.4442,[Histórico SESNSP] SESNSP - Cabecera ganadera segura
Durango,San Luis del Cordero,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Municipio apacible con índices nulos de delitos de impacto.,25.3913,-104.3345,[Histórico SESNSP] SESNSP - Cero delitos de alto impacto
Durango,San Pedro del Gallo,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Zona ganadera histórica con tranquilidad comprobada.,25.6409,-104.4144,[Histórico SESNSP] SESNSP - Entorno rural pacífico
Durango,Santa Clara,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Zona agropecuaria del semidesierto con estabilidad vecinal.,24.4851,-103.3622,[Histórico SESNSP] SESNSP - Convivencia comunitaria
Durango,Santiago Papasquiaro,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (8/10),🟢 VERDE,Aprobado. Cabecera regional del valle noroeste; actividad comercial sólida y seguridad pública efectiva.,25.0225,-105.6721,[Histórico SESNSP] SESNSP - Polo comercial seguro
Durango,Súchil,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Zona rural pacífica con proximidad a la Reserva de la Biosfera La Michilía.,23.4159,-104.2050,[Histórico SESNSP] SESNSP - Región ecológica pacífica
Durango,Tamazula,Todo el Municipio,Accesos Principales,Alto (4/10),Alto (3/10),Alto (4/10),🔴 ROJO,No-Go. Municipio serrano en límites con Sinaloa y Chihuahua (Triángulo Dorado); presencia delictiva rural y caminos no recomendables para prospección ordinaria.,24.9722,-106.8543,[Histórico SESNSP] SESNSP - Foco rojo serrano limítrofe
Durango,Tepehuanes,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,Condicionado. Valle de transición a la sierra; cabecera apacible con precauciones en tramos boscosos.,25.4236,-106.1112,[Histórico SESNSP] SESNSP - Valle y sierra media
Durango,Tlahualilo,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,Condicionado. Semidesierto lagunero; actividad agropecuaria con monitoreo en límites con Coahuila.,26.3084,-103.6037,[Histórico SESNSP] SESNSP - Cuenca lechera lagunera
Durango,Topia,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Distrito minero enclavado en las barrancas de la sierra; accesos restringidos por terreno.,25.2509,-106.5534,[Histórico SESNSP] SESNSP - Región minera de barrancas
Durango,Vicente Guerrero,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Polo comercial del sureste duranguense; tranquilidad cívica y flujo comercial constante.,23.7272,-103.9464,[Histórico SESNSP] SESNSP - Corredor comercial seguro
Zacatecas,Apozol,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Zona de balnearios y aguas termales en el cañón; turismo familiar pacífico y seguro.,21.4626,-103.0773,[Histórico SESNSP] SESNSP - Corredor termal pacífico
Zacatecas,Apulco,Todo el Municipio,Accesos Principales,Alto (3/10),Alto (2/10),Alto (3/10),🔴 ROJO,No-Go. Límite sur con Jalisco en conflicto armado permanente y ataques a edificios públicos.,21.4564,-102.6765,[Histórico SESNSP] SESNSP - Zona de conflicto armada en frontera sur
Zacatecas,Atolinga,Todo el Municipio,Accesos Principales,Medio (7/10),Medio (7/10),Bajo (8/10),🟡 AMARILLO,Condicionado. Precaución preventiva en accesos viales o zonas periféricas de Atolinga.,21.7658,-103.4655,[Histórico SESNSP] SESNSP - Zona rural pacífica
Zacatecas,Benito Juárez,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en Benito Juárez. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,21.4907,-103.5904,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Calera,Todo el Municipio,Accesos Principales,Alto (4/10),Alto (4/10),Alto (4/10),🔴 ROJO,No-Go. Zona industrial y ferroviaria con recurrentes homicidios y ataques armados focalizados en inmediaciones urbanas.,22.9785,-102.8562,[Histórico SESNSP] SESNSP - Alta tasa de homicidios per cápita
Zacatecas,Cañitas de Felipe Pescador,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en Cañitas de Felipe Pescador. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,23.5764,-102.7175,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Chalchihuites,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en Chalchihuites. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,23.4424,-103.9431,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Concepción del Oro,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en Concepción del Oro. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,24.4491,-101.1874,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Cuauhtémoc,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (7/10),🟡 AMARILLO,Condicionado. Corredor hacia el Nevado de Colima y aeropuerto; entorno ordenado con precauciones habituales de tránsito.,23.6345,-102.5528,[Histórico SESNSP] SESNSP - Corredor vial norte
Zacatecas,El Plateado de Joaquín Amaro,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en El Plateado de Joaquín Amaro. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,22.0037,-103.0654,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,El Salvador,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en El Salvador. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,24.4413,-100.8761,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Fresnillo,Todo el Municipio,Accesos Principales,Alto (2/10),Alto (2/10),Alto (2/10),🔴 ROJO,No-Go. Históricamente entre las ciudades con mayor percepción de inseguridad en ENSU INEGI; persistencia de cobro de piso y eventos violentos de alto impacto.,23.1811,-102.8729,[Histórico SESNSP] ENSU INEGI / SESNSP - Percepción de riesgo crítica
Zacatecas,Genaro Codina,Todo el Municipio,Accesos Principales,Alto (4/10),Alto (3/10),Alto (4/10),🔴 ROJO,No-Go. Zona de cañadas y terracerías con eventos de confrontación armada entre células.,22.4574,-102.5843,[Histórico SESNSP] SESNSP - Incidentes violentos rurales
Zacatecas,General Enrique Estrada,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en General Enrique Estrada. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,23.0153,-102.7932,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,General Francisco R. Murguía,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en General Francisco R. Murguía. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,24.1284,-102.7611,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,General Pánfilo Natera,Todo el Municipio,Accesos Principales,Alto (4/10),Alto (3/10),Alto (4/10),🔴 ROJO,No-Go. Municipio de General Pánfilo Natera con alerta preventiva por disputas de grupos delictivos o antecedentes de asaltos carreteros.,23.6345,-102.5528,[Histórico SESNSP] SESNSP - Zona de atención prioritaria en Zacatecas
Zacatecas,Guadalupe,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Zona conurbada de alta densidad demográfica; viable en fraccionamientos cerrados y corredores comerciales primarios.,22.7824,-102.4505,[Histórico SESNSP] SESNSP - Retos de seguridad urbana en periferia
Zacatecas,Huanusco,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (9/10),🟢 VERDE,Aprobado. Comunidad cañonera apacible con vida cívica ordenada.,21.7676,-102.9307,[Histórico SESNSP] SESNSP - Cañón de Juchipila pacífico
Zacatecas,Jalpa,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (8/10),🟢 VERDE,"Aprobado para desarrollo y comercio local. Corazón del Cañón de Juchipila con fuerte respaldo de remesas, baja tasa de criminalidad y gran tranquilidad ciudadana.",21.6306,-103.0077,"[Histórico SESNSP] SESNSP - Cañón de Juchipila, zona pacífica"
Zacatecas,Jerez,Todo el Municipio,Accesos Principales,Alto (4/10),Alto (3/10),Alto (4/10),🔴 ROJO,"No-Go. Aunque su cabecera tiene tradición cultural, el municipio ha sufrido antecedentes graves de violencia armada y desplazamiento de comunidades en su zona serrana.",26.8742,-101.4026,[Histórico SESNSP] SESNSP - Antecedentes de desplazamiento y tensión armada
Zacatecas,Jiménez del Teul,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en Jiménez del Teul. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,23.1478,-103.9648,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Juan Aldama,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en Juan Aldama. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,24.2557,-103.3069,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Juchipila,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (8/10),🟢 VERDE,"Aprobado. Entorno cañonero de convivencia pacífica, sin afectación de delincuencia organizada en cabecera.",21.3781,-103.1261,[Histórico SESNSP] SESNSP - Comunidad con bajo índice delictivo
Zacatecas,Loreto,Todo el Municipio,Accesos Principales,Medio (5/10),Medio (5/10),Medio (6/10),🟡 AMARILLO,Condicionado. Zona agrícola del sureste limítrofe con Aguascalientes; filtros de inspección policial permanentes.,22.2739,-101.9126,[Histórico SESNSP] SESNSP - Zona fronteriza bajo monitoreo
Zacatecas,Luis Moya,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en Luis Moya. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,22.4346,-102.2536,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Mazapil,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en Mazapil. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,24.3808,-101.9790,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Melchor Ocampo,Todo el Municipio,Accesos Principales,Medio (6/10),Medio (6/10),Medio (6/10),🟡 AMARILLO,Condicionado en Melchor Ocampo. Cabecera municipal funcional; se recomienda transitar en carreteras estatales en horarios diurnos y mantener monitoreo logístico.,24.9001,-101.9766,[Histórico SESNSP] SESNSP - Entorno semidesértico / altiplano bajo monitoreo
Zacatecas,Mezquital del Oro,Todo el Municipio,Accesos Principales,Bajo (8/10),Bajo (8/10),Bajo (8/10),🟢 VERDE,Aprobado. Municipio histórico minero con aislamiento pacífico.,21.1940,-103.3598,[Histórico SESNSP] SESNSP - Entorno minero tranquilo
